room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude
3843647,19811324,Private room,Yeonhui-dong,10,5,2,1,42,1,37.567362,126.933004
13582665,78406335,Private room,Samseong-dong,0,,1,1,91,1,37.514449,127.051978
7584001,38990811,Shared room,Jeonnong-dong,3,5,2,1,14,1,37.581265,127.052956
11634104,13045522,Entire home/apt,Singongdeok-dong,31,4.5,4,1,58,,37.543454,126.952451
12279184,35608851,Entire home/apt,Nonhyeon-dong,17,5,3,2,64,4,37.513035,127.027691
7960631,24032856,Entire home/apt,Changcheon-dong,17,4,1,1,19,1,37.558204,126.938578
7010615,36750810,Shared room,Daehyeon-dong,6,4.5,1,1,22,1,37.557276,126.945941
9540664,49414099,Entire home/apt,Godeok-dong,0,,4,1,14,1,37.55997,127.156348
12084652,63671979,Private room,Nonhyeon-dong,1,,1,1,22,3,37.510542,127.029107
6591811,26100480,Entire home/apt,Hwagok-dong,0,,2,0,22,1,37.553185,126.848482
8615534,2359171,Private room,Ikseon-dong,12,5,4,1,118,1,37.575326,126.989283
10179040,6913955,Entire home/apt,Songpa-dong,5,5,6,3,75,,37.5056,127.107335
12455667,30774464,Private room,Yeonhui-dong,13,5,3,1,24,1,37.569501,126.921408
11463677,60302824,Shared room,Changcheon-dong,1,,2,1,24,1,37.557086,126.937166
13869375,76707932,Entire home/apt,Singye-dong,4,5,4,0,55,2,37.536784,126.967176
14862992,92956870,Private room,Songjeong-dong,0,,2,1,27,1,37.551798,127.06844
6187909,32096250,Shared room,Yeonnam-dong,0,,7,1,21,1,37.561898,126.9191
10623099,17947050,Private room,Seogyo-dong,0,,4,1,78,1,37.556237,126.917353
7155005,24755879,Entire home/apt,Yangpyeong-dong 5(o)-ga,0,,2,0,44,1,37.540414,126.895621
14921447,84043287,Entire home/apt,Dongja-dong,0,,4,1,61,2,37.553835,126.969364
12917195,63420161,Entire home/apt,Dohwa-dong,29,5,4,1,77,1,37.540162,126.946361
14462251,50730114,Entire home/apt,Dongja-dong,1,,7,1,71,1,37.553432,126.969855
12176342,13581627,Private room,Seogyo-dong,24,5,2,1,31,2,37.555686,126.928175
5355363,27182335,Private room,Chungmuro 4(sa)-ga,7,5,4,1,28,1,37.562593,126.995122
6285301,29082687,Entire home/apt,Sungin-dong,34,4.5,3,1,46,1,37.573394,127.022461
5898438,23007193,Private room,Hyeonjeo-dong,39,5,3,1,38,2,37.572666,126.950314
13609001,12296601,Entire home/apt,Donggyo-dong,2,,2,0,35,2,37.557116,126.927448
13283680,74922852,Private room,Gwonnong-dong,2,,2,1,84,1,37.575146,126.991617
14044564,81038775,Shared room,Myeongnyun 1(il)-ga,0,,5,1,112,1,37.586467,126.998183
12506056,40283312,Entire home/apt,Dongja-dong,12,4.5,3,1,54,1,37.551262,126.972978
10161823,50330071,Private room,Yeonnam-dong,6,5,2,1,47,1,37.560676,126.919463
13755255,79939448,Private room,Seongsan-dong,5,5,2,1,30,3,37.56635,126.904045
5298583,27041752,Shared room,Yeonnam-dong,3,5,3,1,18,1,37.563075,126.924051
14320950,1572120,Entire home/apt,Dongja-dong,2,,16,0,155,1,37.553992,126.969204
5271134,24682306,Shared room,Itaewon-dong,3,4,14,1,15,1,37.534505,126.992313
8732907,34949996,Private room,Pungnap-dong,37,5,2,1,28,1,37.534649,127.116824
14495051,17482128,Private room,Seocho-dong,4,5,2,1,30,2,37.50211,127.021531
14885947,88244948,Entire home/apt,Yeoksam-dong,9,5,2,0,62,1,37.498699,127.028032
6049892,30594166,Shared room,Itaewon-dong,13,4.5,5,1,19,1,37.534328,126.993435
12499906,8133294,Entire home/apt,Hongeun-dong,1,,12,3,93,2,37.597292,126.955395
2516635,11677529,Shared room,Donggyo-dong,19,4.5,6,1,16,1,37.556635,126.927993
14412670,68320477,Entire home/apt,Bongnae-dong 2(i)-ga,2,,2,1,71,1,37.556506,126.969479
5105057,25164895,Shared room,Itaewon-dong,1,,7,1,112,1,37.535984,126.991705
15100708,75148096,Entire home/apt,Yeoksam-dong,1,,2,1,66,1,37.497254,127.028221
9621524,7943750,Entire home/apt,Heungin-dong,13,5,2,1,60,2,37.56852,127.017816
13083662,70234824,Entire home/apt,Migeun-dong,0,,4,2,186,1,37.564346,126.967372
12115898,64993826,Private room,Daechi-dong,0,,2,1,46,1,37.495477,127.061513
10389302,40506021,Private room,Ahyeon-dong,1,,2,1,24,1,37.556204,126.960335
4680462,5230798,Private room,Sillim-dong,2,,1,1,24,4,37.467675,126.944368
8890501,46513828,Shared room,Itaewon-dong,0,,1,1,21,1,37.536378,126.990977
15210560,20740357,Entire home/apt,Seogye-dong,0,,9,2,82,1,37.553947,126.968009
12540841,41722109,Private room,Nonhyeon-dong,14,5,4,1,39,2,37.508111,127.025547
6683532,34981805,Private room,Bongcheon-dong,3,5,1,1,30,3,37.491333,126.948318
1101238,2252476,Shared room,Seogye-dong,6,5,2,1,31,21,37.553911,126.967368
11034937,9712707,Entire home/apt,Changcheon-dong,24,4.5,4,1,41,3,37.559155,126.929735
7501096,39292666,Private room,Sajik-dong,51,5,2,1,19,4,37.573913,126.965339
6571696,8669093,Private room,Yeoksam-dong,22,5,2,1,46,2,37.496629,127.033935
9360959,48470659,Shared room,Yeonnam-dong,0,,6,1,24,1,37.561469,126.924802
4320818,2403998,Shared room,Donggyo-dong,1,,3,1,11,3,37.558294,126.9254
